Action,Lieux,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20
Se lever (chaise),Maison,-0.013641,0.053391,-0.111801,0.237747,0.517868,0.752502,0.580124,-0.220734,0.422104,-0.213562,-0.121384,-0.346436,-0.133347,0.079727,-0.107010,0.001923,0.097687,0.322739,-0.203979,0.242538,6.671219,7.321243,7.509201,7.354767,7.517578,7.353577,7.868332,7.006409,6.386322,6.409058,5.249069,4.865997,4.953384,4.960571,5.781784,6.606583,7.688766,8.408218,8.119720,7.815659,7.265762,6.790512,6.703125,5.891495,5.823257,7.706299,9.053040,10.813980,10.372238,10.198669,8.600540,7.227463,7.073029,6.509201,6.369141,5.241470,5.251053,5.780167,5.683197,5.778976,13.923340,14.165146,14.100525,13.484009,13.858704,15.812378,17.501495,17.599655,17.180664,16.394165,13.728226,11.747025,11.893066,11.549500,12.043915,11.849976,13.037506,14.511124,13.598938,13.837173
Se lever (depuis position allongée),Maison,-9.816696,-9.821487,-9.963943,-8.995483,-9.723328,-10.746841,-12.146255,-10.976685,-9.925629,-7.493118,-7.270462,-7.045410,-6.644379,-5.430527,-3.984421,-4.131668,-3.882675,-4.023926,-1.800919,-0.399109,-0.289917,-0.265976,-0.457504,-0.874100,-0.008591,0.141037,-0.303085,0.926331,3.020065,2.961411,3.989716,4.622986,4.657700,5.808121,6.394699,7.687561,7.983246,8.785309,6.623337,5.499268,-0.481873,-1.049301,-0.730865,-0.987045,-1.805862,-1.361740,-0.991837,-0.170624,-0.169418,-0.463913,0.393219,1.117462,2.849670,3.359634,5.705948,7.503998,10.864258,11.751312,11.570541,8.717850,-10.588486,-11.136765,-11.152313,-10.856628,-11.537781,-11.967545,-13.441177,-10.220978,-7.074982,-4.995621,-2.887527,-1.304962,0.862991,3.737228,8.116226,11.059891,14.964828,16.512695,16.392960,13.818008
S'assoir (chaise),Maison,0.110855,-0.105820,-0.068710,0.039032,0.022278,0.013901,0.175507,0.316757,-0.405090,0.005508,-0.329681,-0.311722,0.240143,-0.399109,0.109665,-0.687607,-0.309326,0.101288,0.220993,0.119232,7.446945,7.342804,7.276962,6.898682,6.273788,5.132950,4.579895,4.674454,4.925858,5.504059,5.695587,5.355606,7.153656,7.324844,8.556656,8.111343,7.855164,7.949722,7.713898,8.289703,6.807281,7.004807,6.215912,5.940582,5.478500,5.865158,4.997269,5.908249,9.426529,11.361053,12.516251,11.537018,7.627289,8.337173,7.967270,7.478851,6.372726,5.308502,4.500473,3.511658,14.365082,14.241791,13.424164,12.878296,11.774567,11.012009,9.752670,10.899460,13.947296,16.870621,17.882156,16.580902,15.021088,15.262909,16.633591,14.902588,13.918564,13.359512,12.435364,11.920593
S'assoir (chaise),Maison,0.162338,0.036636,0.041428,-0.069901,-0.020828,-0.132156,-0.020828,-0.256653,0.277252,0.807571,-0.284180,-1.568680,-1.914642,-1.483673,-1.796127,-2.721481,-2.040329,-1.022797,-0.685211,-0.075882,8.687149,8.665588,8.652420,8.421387,8.251404,7.912613,7.438568,6.291748,4.153717,4.304550,4.858810,8.705093,11.159149,10.759323,10.309219,8.762558,4.997681,5.425049,6.028381,7.097397,4.945786,4.936203,5.087051,5.036774,4.832062,4.371185,3.901917,4.568695,4.720734,6.510391,8.397034,6.806076,10.632019,8.333588,5.562286,8.650818,14.159866,7.374710,5.559906,2.055984,13.795273,13.638428,13.780899,13.388260,13.062637,12.151642,11.319656,10.603790,9.151703,11.622513,12.971664,13.942490,19.876526,17.609238,14.075378,14.691895,17.117218,11.776962,10.903076,9.077499
Sauter,Maison,0.760880,0.370636,-0.037582,-0.585861,-1.251434,-4.567413,-2.241440,-9.792755,-3.193146,-1.018005,0.639984,-1.281372,-0.367981,-0.157288,-0.572693,-2.788513,-3.889847,-3.807251,-4.697891,-3.671982,8.571030,6.361176,4.640945,2.856064,3.971756,7.365540,25.753006,26.786118,-1.372101,-5.866013,-0.426392,0.929932,0.836563,-0.716080,6.883118,19.803421,19.971008,16.225281,11.124435,8.281326,3.667282,3.024445,1.097107,3.648132,4.806931,8.446106,20.200439,38.419128,2.413925,2.746719,-4.282669,2.315750,0.787064,0.937897,-7.141342,12.340286,8.691513,12.992706,6.849182,7.506378,12.999191,9.756256,5.700470,5.918335,7.527252,11.244232,43.712006,55.412491,-2.151321,-4.137299,-4.069077,1.964310,1.255646,0.064529,-0.830917,29.355194,24.772675,25.410736,13.275726,12.115723
Sauter,Maison,0.442459,0.420914,-0.712753,-0.012436,0.942841,-0.452972,0.311966,-2.116943,-5.120468,-3.285309,1.093674,0.657928,-3.710281,1.675476,0.182678,0.237747,-4.061035,-7.552979,-1.506424,-2.507202,9.109726,8.871490,8.738617,6.666443,4.537994,1.274689,1.789444,11.505112,29.623245,18.704483,-3.004944,-5.420685,0.509750,-0.198944,-0.095993,-1.595947,22.110229,19.301834,19.626251,11.393784,4.319702,4.792557,2.260696,1.069580,2.360046,4.593842,4.539963,10.830734,34.237640,36.775497,-6.802567,-1.700516,3.391953,0.858887,-0.942749,1.250336,1.079147,8.260559,11.045013,10.737366,13.871887,14.084961,10.286560,7.723587,7.840881,5.415558,6.641373,20.218903,58.740417,52.194672,-8.713837,-6.463272,0.191422,2.335419,-0.856064,-0.107864,19.128342,20.009415,29.164841,19.623947
Sauter,Maison,1.112839,0.898544,0.223389,-0.815704,0.010300,-1.313690,0.724976,-5.653183,3.630341,-3.958084,2.401520,1.059570,1.391769,0.389786,-1.767395,2.256073,-3.970657,-1.556107,-0.712158,-0.401505,8.439346,7.336807,5.692001,2.987747,-1.077606,5.644119,9.411392,29.068390,1.879227,1.930710,-1.987411,-2.154404,-1.184753,-1.342178,10.319992,17.314056,15.409470,8.067642,4.808548,2.338318,4.188019,3.971344,0.093933,-0.872116,5.727493,6.630112,10.805603,38.412537,10.320770,-0.237061,-7.772812,-0.743439,-0.964310,-0.466309,-4.903366,15.277374,25.111557,18.394623,5.634125,4.933228,13.740204,12.206696,6.009323,1.299927,4.660187,10.960541,20.941971,61.827744,15.830338,-2.264435,-7.358704,-1.838272,-0.757294,-1.418701,3.649231,34.847504,36.550369,24.906158,9.730515,6.870041
Sauter,Maison,0.021683,-0.051941,-0.517609,-0.985092,-1.411865,-2.103180,-7.038834,1.242722,2.259064,-1.155685,-0.310516,0.687271,-0.856995,-2.914215,-0.553528,-0.636734,-2.796906,-0.996460,0.344894,-0.173447,7.928787,5.050949,2.745331,0.427750,6.387512,26.547302,20.442673,2.350296,-5.958191,-2.661377,-0.390472,0.209274,-1.883865,9.747177,12.377213,14.576874,14.320099,8.724854,4.946808,1.371658,5.144501,4.489700,-0.331039,4.698593,7.393265,22.835266,33.348801,-8.909470,9.564209,6.394882,-2.424164,-1.799271,1.593918,-4.884811,13.078888,26.685135,24.140106,11.646561,5.989655,0.637421,13.094971,9.488708,1.896683,4.141251,12.368912,47.279388,46.752640,-5.316452,5.865082,2.577820,-3.125153,-0.902725,-1.146942,1.948151,24.902573,40.625275,35.663300,19.374954,11.281357,1.835632
Sauter,Maison,-0.455368,0.195251,-4.115509,-0.345825,-0.165070,-0.045349,0.135406,-0.424835,-4.656601,0.005524,-2.367737,-0.582855,0.988342,0.981155,0.027664,-2.116348,4.137909,-1.640503,-0.851608,-1.329254,10.361893,8.752991,10.472626,5.498672,3.547989,0.722839,4.688232,19.381454,25.484863,-4.046417,-6.890137,-0.477264,0.544464,0.178146,-0.307877,19.207260,16.025970,18.407608,7.379913,3.126602,6.267990,4.882339,0.530289,-1.387482,2.015884,5.260040,5.591629,16.553482,37.084366,-5.993332,3.132187,0.212448,-0.426804,-0.726669,1.504120,-9.609756,38.445465,15.438370,9.017120,2.751495,16.174515,13.830582,6.887405,3.765366,5.398804,5.937531,10.415268,35.510101,57.912628,-10.034225,-6.125687,-0.847672,1.106003,0.432632,1.223907,7.481155,58.609344,32.205475,15.545425,4.548843
Marcher,Maison,0.034241,-0.494873,-0.215942,-0.249466,-0.089050,-1.444168,-1.970901,-1.220322,-0.002869,-0.067505,0.352676,-0.189621,0.835098,0.370636,-0.302139,-0.785767,-0.703171,-1.821259,-2.525162,-0.543961,6.391098,6.522781,6.549118,7.048309,7.068665,4.463776,5.694397,4.510452,6.140915,6.332443,6.842407,4.895920,5.207169,4.259064,5.489685,6.326462,6.925003,4.275833,4.454193,4.285400,7.906219,7.554276,7.537506,8.064240,8.061844,9.600113,6.947342,9.440903,6.771362,7.652435,8.267746,10.061005,7.498001,8.244995,7.112534,7.451324,8.312042,11.648361,9.504349,6.712708,14.331558,13.582184,13.870682,14.863083,15.041458,12.619720,10.670837,12.731033,12.909409,13.917374,15.462830,14.767303,13.540268,12.874695,12.300079,12.992020,14.533875,14.102936,11.433380,10.454147
