Action,Lieux,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20
Se lever (chaise),Maison,0.635193,0.562164,0.283249,0.328735,0.045013,-1.713516,-2.079834,-0.962936,-2.556274,-1.428619,-0.059128,0.177902,-0.093842,0.280853,0.274857,0.408936,0.498718,1.029037,0.165924,0.926086,4.849243,5.259842,5.128159,4.661285,4.462570,3.982544,3.591080,3.055984,0.996964,0.811417,0.545654,-0.198944,-0.984238,-0.305481,0.338562,1.641006,3.030838,3.314560,3.931061,4.802551,8.653214,8.928543,8.735809,8.786087,8.583771,9.033890,8.631668,11.045013,11.535828,11.510681,13.272827,9.260132,10.387802,8.771729,9.038681,7.809250,7.272949,9.240982,7.985229,8.634048,14.137650,14.750549,14.147217,13.776108,13.091354,11.302917,10.142914,13.138062,9.976517,10.893478,13.759354,9.239090,9.309723,8.747101,9.652100,9.859192,10.802505,13.584579,12.082214,14.362686
S'assoir (chaise),Maison,-0.049545,0.103683,0.085724,-0.032791,0.163528,0.037842,0.217407,0.337112,0.559769,0.207825,0.844681,-0.182434,0.608856,0.606461,0.446045,0.517868,-0.151306,2.420059,1.322327,0.735748,4.549957,4.547562,4.674454,4.573898,4.515244,4.231537,3.743118,2.857269,2.243149,2.462219,2.002533,2.955429,2.692062,2.763885,2.522079,4.427856,5.712341,4.084290,4.837265,5.293365,8.606522,8.816010,8.611313,9.133240,8.456879,8.164795,7.876297,7.159225,6.964096,6.366745,12.002701,10.969604,11.400558,11.686661,11.268875,9.604904,8.741791,10.500336,8.606522,8.692719,13.106934,13.467255,13.371490,13.674347,13.135651,12.434174,11.836823,10.353607,9.767014,9.036789,14.849915,13.742599,14.701477,15.057007,14.237000,14.550629,14.302826,17.004684,14.766113,14.721832
Se lever (chaise),Maison,0.297607,-0.080673,0.219788,0.309570,0.875809,1.343872,1.078110,1.118820,0.959610,0.710602,0.747711,0.984741,0.988327,0.890167,0.350281,0.090515,0.582520,0.133606,0.206635,0.258102,4.579895,4.692413,4.511658,4.491302,4.765442,3.509689,3.940643,3.750305,2.644180,2.429901,2.695648,2.743530,3.794586,4.475739,4.904297,5.179642,5.049149,4.796570,4.966553,5.074295,9.147614,8.388657,8.413788,10.702652,9.627655,11.419708,10.833130,12.541397,9.962830,8.945297,7.790100,6.367950,6.154861,7.196335,8.189926,9.309219,8.959671,8.320419,8.356323,8.569412,14.025116,13.000397,13.145233,15.503525,15.268906,16.273270,15.851883,17.410522,13.566620,12.085800,11.233459,10.096222,10.937775,12.562241,13.444504,14.579376,14.591339,13.250595,13.529510,13.901810
S'assoir (chaise),Maison,0.073746,-0.011246,-0.050751,0.015091,-0.114197,0.004318,-0.012436,-0.044769,0.356262,0.355072,0.104874,0.815948,0.392181,0.341904,-0.451782,-1.288559,-1.213135,0.149170,0.065369,0.204239,4.462570,4.630173,4.540390,4.484116,4.225555,3.743118,3.158936,2.125839,1.834930,2.127029,2.349686,4.020844,3.542007,4.460175,5.602219,5.602219,7.126129,5.861984,5.899094,5.888321,8.969238,8.827988,8.640045,8.748978,8.292877,8.065430,7.373505,6.965302,6.427795,11.175507,11.656738,11.268875,13.204590,9.695877,9.452866,8.968048,7.905014,7.604553,6.196762,6.590607,13.505554,13.446915,13.129684,13.248184,12.404236,11.812866,10.520004,9.046371,8.618988,13.657608,14.111298,16.105667,17.138779,14.497955,14.603302,13.281708,13.818008,13.615707,12.161224,12.683167
S'assoir (chaise),Maison,-0.215942,-0.227921,0.054596,0.242538,-0.502060,-0.815704,0.562164,-0.844421,-0.509247,-0.293762,-0.903091,0.802780,-0.521210,-0.559525,1.703003,0.145569,1.102066,0.900940,0.444855,0.721375,7.206329,7.281754,6.788544,6.515594,5.608200,4.098648,5.931412,6.960922,7.748611,7.377518,7.546310,10.375061,11.051422,7.585815,6.917831,7.531937,7.253021,8.767349,8.047897,7.518768,7.421387,6.819244,6.721085,5.971695,4.981705,5.400681,5.179214,10.277679,9.015930,9.899384,8.910583,8.217468,9.416962,4.832062,2.870010,5.031982,3.272247,6.510391,7.116135,5.164856,14.411774,13.873077,13.564224,12.729828,10.087845,8.683624,11.672791,16.394180,16.255295,16.983139,15.553802,19.395309,19.947174,11.858353,11.490845,12.709488,11.627335,16.178680,15.608887,13.404999
Se lever (chaise),Maison,0.656738,0.335907,0.605255,0.568146,0.474777,0.628006,0.953613,1.128387,1.390564,0.317963,-0.776199,-0.237503,0.246124,0.122833,0.027069,0.552582,0.606461,0.144379,0.200638,0.201843,6.635315,6.684387,6.599396,6.873535,7.521164,7.106964,7.150070,7.241043,8.067047,6.545532,6.567078,5.180832,4.456589,4.364410,4.825302,5.883530,6.868744,7.922195,7.601379,7.278152,8.543076,7.796082,7.019165,6.944946,5.972900,5.646088,5.286957,7.978043,10.561386,15.628708,9.979599,9.498367,6.850372,5.563492,5.172043,5.363571,5.373154,6.385895,6.417023,5.990860,15.835129,14.816376,14.223816,14.386627,13.968842,13.381058,13.390640,16.347473,20.018997,22.492203,15.770477,14.441696,11.553085,10.050735,10.024414,11.799683,12.848358,14.452469,14.219040,13.470856
S'assoir (chaise),Maison,0.250916,0.150360,0.199448,0.224579,0.292816,0.116852,0.067764,-0.024414,-0.112991,0.064178,0.346695,0.053391,-0.164474,0.448441,1.227753,-0.953369,0.163528,-0.045959,-0.091446,0.345490,7.159637,7.218307,7.166824,7.174011,7.211121,6.447372,5.340042,4.873184,3.749100,5.184433,5.872757,6.819672,7.417023,6.160065,7.709106,8.541092,8.963669,8.468079,7.998810,7.091400,7.762558,7.041916,6.680389,6.770172,6.739044,6.366745,5.562286,3.809738,5.228302,7.717072,10.914536,13.021423,11.771652,10.503922,6.191971,5.743057,5.009232,6.448151,4.640533,4.851212,15.173111,14.410583,14.046661,14.168762,14.242981,12.930969,10.970093,8.658508,8.864410,12.965683,17.133987,19.894485,19.024200,17.112427,15.128830,13.330780,14.136429,14.870270,12.547897,12.288101
Se lever (chaise),Maison,0.563370,0.684265,0.241348,0.832718,0.422104,0.766876,0.699829,0.875809,0.960800,0.472382,-1.020401,-0.412277,-0.524796,0.412521,-0.557129,0.218597,0.522659,0.284439,-0.612183,-0.168060,7.106964,6.544327,6.914230,6.591019,6.844803,6.796921,7.554688,7.069855,7.187180,9.313232,10.218231,8.079010,6.342026,4.437439,3.656921,3.862823,6.247452,7.114151,8.659607,8.076614,9.191910,7.600952,6.961700,7.123306,7.488434,6.846786,5.241470,4.973328,4.419067,6.612152,15.644272,11.782425,8.789673,7.076630,5.292953,4.492081,3.603836,6.194366,6.334427,6.255417,16.862244,14.829544,14.117279,14.547043,14.755341,14.410583,13.495987,12.918991,12.567047,16.397766,24.842102,19.449158,14.606903,11.926590,8.392746,8.573502,10.373947,13.592957,14.381851,14.163971
S'assoir (chaise),Maison,0.446045,0.211411,0.108459,-0.189621,-0.077087,0.341904,-0.041168,-0.728302,-0.229111,-0.387131,-0.075882,-0.885132,-0.371567,-0.407486,0.642365,0.070160,-0.023224,-0.272217,0.387390,0.116852,7.030350,7.023178,6.120560,4.478134,3.659317,4.006485,5.652496,6.713120,7.472092,6.958527,7.235062,7.940155,7.716293,6.063095,5.694397,6.334839,7.367935,7.710312,7.214706,6.978882,6.251831,7.022751,5.428223,5.131332,3.834885,5.658066,8.531097,11.759689,14.006638,12.036209,7.488434,7.985229,8.971634,7.254990,4.099442,5.702362,6.236267,6.839600,6.826431,6.767776,13.728226,14.257339,11.657242,9.419846,7.417114,10.006454,14.142426,17.744507,21.249619,18.607605,14.647614,15.040253,16.316360,12.910599,10.436203,12.107361,13.580978,14.277695,14.428528,13.863510
Se lever (chaise),Maison,1.092484,-0.044769,0.268875,0.119232,-0.099838,-0.332062,0.110855,0.428085,0.504700,0.915314,0.544205,0.485550,1.226563,0.957214,0.654343,0.261688,-0.019623,0.490341,0.435272,0.405350,7.151260,7.561874,7.318863,7.110565,7.681580,5.122177,5.730301,5.811707,5.229919,4.773819,4.770233,5.573486,6.204361,7.363144,7.995224,7.677994,6.789734,7.329636,7.680374,7.361954,6.268585,6.661240,6.366745,8.685532,12.424072,13.496674,9.610886,10.244156,7.963684,6.442169,4.878754,4.962540,5.629333,5.682007,6.083038,6.728271,6.455338,6.299713,6.474487,7.208313,14.512329,14.178345,13.954483,15.915329,20.005814,18.286789,15.452042,16.483948,13.698303,12.131302,10.193192,11.021576,13.060257,14.002365,14.732605,14.667953,13.225449,14.119690,14.590134,14.975616
